turkey,adana,adiyaman,afyonkarahisar,agri,aksaray,amasya,ankara,antalya,ardahan,army,artvin,aydin,balikesir,bartin,batman,bayburt,bilecik,bingol,bitlis,bolu,burdur,bursa,canakkale,cankiri,corum,denizli,diyarbakir,duzce,edirne,elazig,erzincan,erzurum,eskisehir,gaziantep,giresun,gumushane,hakkari,hatay,igdir,isparta,istanbul,izmir,kahramanmaras,karabuk,karaman,kars,kastamonu,kayseri,kilis,kirikkale,kirklareli,kirsehir,kocaeli,konya,kutahya,malatya,manisa,mardin,mugla,mus,myrtle,nevsehir,nigde,osmanabad,rize,sakarya,mastiff,sanliurfa,siirt,sinop,sirnak,sivas,slap,tekirdag,trabzon,tunceli,usak,van,yalova,yozgat,zonguldak
artvin,saimbeyli,,iscehisar,,,,kalecik,kale,,persembe,,kusadasi,havran,,gercus,,,,,,,hamzabey,,orta,,konak,hazro,,,,,pasinler,,,,,,cirtiman,,uluborlu,catalca,karabaglar,,,,,hanonu,sarioglan,,,,,kartepe,derebucak,saphane,merkez,salihli,,ula,,taurus,,,,center,kocaali,salipazari,viransehir,,,,koyulhisar,yesilyurt,,macka,,,ozalp,,sefaatli,
aydin,tufanbeyli,,kiziloren,,,,kazan,kalkan,,ulubey,,kuyucak,ivrindi,,hasankeyf,,,,,,,inegeul,,sabanozu,,pamukkale,kazanci,,,,,pazaryolu,,,,,,dagduzu,,yalvac,celaliye,karaburun,,,,,ihsangazi,sariz,,,,,korfez,doganhisar,simav,puturge,sarigol,,yatagan,,virtuous,,,,sunday,pamukova,spruce,,,,,merkez,zile,,center,,,palace,,sorgun,
balikesir,,,sandikli,,,,kizilcahamam,kas,,unieh,,nazilli,kepsut,,hisarkoy,,,,,,,iznik,,yaprakli,,saraykoy,kerh,,,,,senkaya,,,,,,denizciler,,yenisarbademli,durusu,kemalpasa,,,,,inebolu,talas,,,,,,emirgazi,tavsanli,yazihan,saruhanli,,,,yenisehir,,,,,sapanca,tekkekoy,,,,,sarkisla,,,of,,,,,yenifakili,
bartin,,,sincanli,,,,nallihan,kemer,,,,sokia,manyas,,kayapinar,,,,,,,karacabey,,,,serinhisar,kocakoy,,,,,tekman,,,,,,dortyol,,,esenler,kinik,,,,,kure,tomarza,,,,,,eregli,,yesilyurt,selendi,,,,,,,,,serdivan,terme,,,,,susehri,,,salpazari,,,,,yerkoy,
batman,,,suhut,,,,polatli,korkuteli,,,,sultanhisar,marmara,,kozluk,,,,,,,keles,,,,tavas,koseli,,,,,tortum,,,,,,dursunlu,,,esenyurt,kiraz,,,,,merkez,yahyali,,,,,,guneysinir,,,soma,,,,,,,,,willowy,vezirkopru,,,,,ulas,,,surmene,,,,,,
bayburt,,,sultandagi,,,,sereflikochisar,kumluca,,,,yenipazar,savastepe,,oymatas,,,,,,,kestel,,,,,kulp,,,,,uzundere,,,,,,erzin,,,guengoeren-merter,menemen,,,,,pinarbasi,yesilhisar,,,,,,hadim,,,turgutlu,,,,,,,,,splayed,wednesday,,,,,yildizeli,,,tonya,,,,,,
bilecik,,,,,,,yenice,manavgat,,,,,sindirgi,,sason,,,,,,,kirazli,,,,,lice,,,,,,,,,,,fatikli,,,gurpinar,seferihisar,,,,,senpazar,,,,,,,halkapinar,,,,,,,,,,,,,yakakent,,,,,zara,,,vakfikebir,,,,,,
bingol,,,,,,,,serik,,,,,susurluk,,yenikoy,,,,,,,kucukkumla,,,,,silvan,,,,,,,,,,,gumusgoze,,,icmeler,selcuk,,,,,seydiler,,,,,,,huyuk,,,,,,,,,,,,,,,,,,,,,yomra,,,,,,
bitlis,,,,,,,,side,,,,,,,yenipinar,,,,,,,kursunlu,,,,,sinankoy,,,,,,,,,,,gunyazi,,,karacakoy,tire,,,,,taskopru,,,,,,,ilgin,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolu,,,,,,,,tekirova,,,,,,,yolagzi,,,,,,,mudanya,,,,,yaprakbasi,,,,,,,,,,,guzelkoy,,,kavakli,torbali,,,,,tosya,,,,,,,kadinhani,,,,,,,,,,,,,,,,,,,,,,,,,,,
burdur,,,,,,,,,,,,,,,,,,,,,,narlica,,,,,yukarisalat,,,,,,,,,,,hacipasa,,,kumburgaz,urla,,,,,,,,,,,,karapinar,,,,,,,,,,,,,,,,,,,,,,,,,,,
bursa,,,,,,,,,,,,,,,,,,,,,,orhaneli,,,,,,,,,,,,,,,,hassa,,,maltepe,,,,,,,,,,,,,karatay,,,,,,,,,,,,,,,,,,,,,,,,,,,
canakkale,,,,,,,,,,,,,,,,,,,,,,orhangazi,,,,,,,,,,,,,,,,iskenderun,,,merter-keresteciler,,,,,,,,,,,,,kulu,,,,,,,,,,,,,,,,,,,,,,,,,,,
cankiri,,,,,,,,,,,,,,,,,,,,,,soloz,,,,,,,,,,,,,,,,karasuleymanli,,,mimarsinan,,,,,,,,,,,,,meram,,,,,,,,,,,,,,,,,,,,,,,,,,,
corum,,,,,,,,,,,,,,,,,,,,,,tacir,,,,,,,,,,,,,,,,kastal,,,muratbey,,,,,,,,,,,,,sarayonu,,,,,,,,,,,,,,,,,,,,,,,,,,,
denizli,,,,,,,,,,,,,,,,,,,,,,umurbey,,,,,,,,,,,,,,,,kirikhan,,,ortakoy,,,,,,,,,,,,,selcuklu,,,,,,,,,,,,,,,,,,,,,,,,,,,
diyarbakir,,,,,,,,,,,,,,,,,,,,,,yenice,,,,,,,,,,,,,,,,kuzeytepe,,,sancaktepe,,,,,,,,,,,,,seydisehir,,,,,,,,,,,,,,,,,,,,,,,,,,,
duzce,,,,,,,,,,,,,,,,,,,,,,yenicekoy,,,,,,,,,,,,,,,,mahmutlar,,,selimpasa,,,,,,,,,,,,,taskent,,,,,,,,,,,,,,,,,,,,,,,,,,,
edirne,,,,,,,,,,,,,,,,,,,,,,yenikoy,,,,,,,,,,,,,,,,oymakli,,,sile,,,,,,,,,,,,,tuzlukcu,,,,,,,,,,,,,,,,,,,,,,,,,,,
elazig,,,,,,,,,,,,,,,,,,,,,,yenisehir,,,,,,,,,,,,,,,,reyhanli,,,silivri,,,,,,,,,,,,,yalihuyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,
erzincan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samankaya,,,sisli,,,,,,,,,,,,,yunak,,,,,,,,,,,,,,,,,,,,,,,,,,,
erzurum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tepehan,,,sultanbeyli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eskisehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toygarli,,,sultangazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaziantep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uzunbag,,,tepecik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giresun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uzunkavak,,,umraniye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gumushane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yayladagi,,,yakuplu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakkari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zeytinburnu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igdir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isparta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahramanmaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karabuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kastamonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kayseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirikkale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirklareli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirsehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocaeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kutahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malatya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mugla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myrtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nevsehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmanabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mastiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanliurfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirnak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekirdag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trabzon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunceli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
van,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yalova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yozgat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zonguldak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
